submission_date,starttime,endtime,tinh,tentinh,huyen,tenhuyen,xa,tenxa,thon,tenthon,khuvuc,idcode0,nguoipv,entry,a001,a002,a005,a005a,a006,a008,a008a,a008aa,a009,a009a,z8,instanceID
"2017-09-30 17:06:04","2017-09-30 16:06:15","2017-09-30 17:05:57","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",4,"Nguyen Phuong Linh",238,"Nữ",47,"Kinh","","Tốt nghiệp cấp II","Lam ruong","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:682521d6-818c-42dd-af19-0ffbbf8826d5"
"2017-10-01 10:52:11","2017-10-01 09:42:21","2017-10-01 10:52:08","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054304","Khu 6","Đô thị",15,"Nguyen thu ha",224,"Nữ",45,"Kinh","","Tốt nghiệp cấp II","Lam thue o cong ty","Lao động không có tay nghề","","Công nghiệp (Nước ngoài/Liên doanh)","","Khong co","uuid:375040fe-7329-4f71-8ede-50d707446e9e"
"2017-09-30 17:36:58","2017-09-30 16:42:59","2017-09-30 17:36:52","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Thị trấn Phú Thái","Thị trấn Phú Thái","302931075005","Khu Đồng Văn","Đô thị",6,"Nguyen thi thuong",291,"Nữ",40,"Kinh","","Tốt nghiệp cấp II","Ho tro chong buon ban nho","Người lao động cho gia đình không được trả lương","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:cd5de6d8-1de2-413a-8728-e3619426d3f1"
"2017-09-29 09:42:07","2017-09-29 08:43:13","2017-09-29 09:42:00","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081309","Khu 3","Đô thị",9,"Le Thi Ngoc Anh",197,"Nam",57,"Kinh","","Tốt nghiệp cấp III","Chuyen nha","Lao động có tay nghề","","Công nghiệp (Nhà nước)","","Khong co","uuid:31c97dd8-3d23-408f-ad0f-a9edfd99f451"
"2017-09-29 14:23:46","2017-09-29 13:39:33","2017-09-29 14:23:43","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Xã Thanh Hồng","Xã Thanh Hồng","302941087900227","Thôn Nhan Bầu","Nông thôn",19,"Le Thi Ngoc Anh",197,"Nữ",32,"Kinh","","Tốt nghiệp cấp II","Cong nhan","Lao động không có tay nghề","","Công nghiệp (Tư nhân)","","Khong co","uuid:ba3a2cf2-1bd5-45de-8c31-0d1c831de3e0"
"2017-09-30 09:44:21","2017-09-30 08:50:46","2017-09-30 09:44:18","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700223","Thôn Cao Ngô","Nông thôn",4,"Nguyen ngoc phuong mai",246,"Nữ",55,"Kinh","","Tốt nghiệp cấp II","Nong dan","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:32c436f4-dc4f-465a-909e-4a29b59c8cdd"
"2017-09-29 09:51:09","2017-09-29 08:33:33","2017-09-29 09:51:05","Hải Dương","Hải Dương","Huyện Thanh Hà","Huyện Thanh Hà","Thị trấn Thanh Hà","Thị trấn Thanh Hà","302941081310","Khu 2","Đô thị",18,"Ha Thi Kim Quy",290,"Nam",52,"Kinh","","Tốt nghiệp cấp III","Kinh doanh","Người lao động cho gia đình không được trả lương","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:77443542-eeba-45fc-af76-555e5b68b1dd"
"2017-10-01 14:54:22","2017-10-01 13:42:34","2017-10-01 14:54:16","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Trần Phú","Phường Trần Phú","302881052802","Khu 7","Đô thị",3,"Nguyen ngoc phuong mai",246,"Nam",37,"Kinh","","Học xong tiểu học","O nha","Không có việc làm","","Khác","Khong co viec lam","Khong co","uuid:84898949-3b53-4feb-b1a3-341904dd5e2e"
"2017-09-30 10:07:25","2017-09-30 09:06:27","2017-09-30 10:07:20","Hải Dương","Hải Dương","Huyện Kim Thành","Huyện Kim Thành","Xã Liên Hòa","Xã Liên Hòa","302931080700224","Thôn Trung Hạng","Nông thôn",15,"Nguyen thi thuong",291,"Nữ",70,"Kinh","","Tốt nghiệp cấp II","Lam nong nghiep","Làm nông nghiệp (kể cả lâm và ngư nghiệp)","","Nông nghiệp","","Khong co","uuid:9df787fc-6953-434b-a4b0-7e9116300a4c"
"2017-10-01 10:17:30","2017-10-01 09:34:34","2017-10-01 10:17:23","Hải Dương","Hải Dương","TP Hải Dương","TP Hải Dương","Phường Việt Hòa","Phường Việt Hòa","302881054303","Khu 4","Đô thị",10,"Nguyen ngoc phuong mai",246,"Nữ",62,"Kinh","","Chưa học hết cấp II","Lam cay canh","Lao động có tay nghề","","Dịch vụ/Kinh doanh (Tư nhân)","","Khong co","uuid:022a7de5-a8eb-443f-b10f-dd68fba71926"
